U set;U actual;I set;I actual;P set;P actual;R set;R actual;R mode;Output/Input;Device mode;Error;Time
300,0V;201,2V;0,100A;0,101A;100W;20W;N/A;N/A;N/A;On;CC;None;6522.0 
300,0V;201,2V;0,100A;0,101A;100W;20W;N/A;N/A;N/A;On;CC;None;6522.1 
300,0V;201,2V;0,100A;0,101A;100W;20W;N/A;N/A;N/A;On;CC;None;6522.2 
300,0V;201,2V;0,100A;0,101A;100W;20W;N/A;N/A;N/A;On;CC;None;6522.3 
300,0V;201,2V;0,100A;0,101A;100W;20W;N/A;N/A;N/A;On;CC;None;6522.4 
300,0V;201,2V;0,100A;0,101A;100W;20W;N/A;N/A;N/A;On;CC;None;6522.5 
300,0V;201,2V;0,100A;0,101A;100W;20W;N/A;N/A;N/A;On;CC;None;6522.6 
300,0V;201,2V;0,100A;0,101A;100W;20W;N/A;N/A;N/A;On;CC;None;6522.7 
300,0V;201,2V;0,100A;0,101A;100W;20W;N/A;N/A;N/A;On;CC;None;6522.8 
300,0V;201,2V;0,100A;0,101A;100W;20W;N/A;N/A;N/A;On;CC;None;6522.9 
300,0V;201,2V;0,100A;0,101A;100W;20W;N/A;N/A;N/A;On;CC;None;6523.0 
300,0V;201,2V;0,100A;0,101A;100W;20W;N/A;N/A;N/A;On;CC;None;6523.1 
300,0V;201,2V;0,100A;0,101A;100W;20W;N/A;N/A;N/A;On;CC;None;6523.2 
300,0V;201,2V;0,100A;0,101A;100W;20W;N/A;N/A;N/A;On;CC;None;6523.3 
300,0V;201,2V;0,100A;0,101A;100W;20W;N/A;N/A;N/A;On;CC;None;6523.4 
300,0V;201,2V;0,100A;0,101A;100W;20W;N/A;N/A;N/A;On;CC;None;6523.5 
300,0V;201,2V;0,100A;0,101A;100W;20W;N/A;N/A;N/A;On;CC;None;6523.6 
300,0V;201,2V;0,100A;0,101A;100W;20W;N/A;N/A;N/A;On;CC;None;6523.7 
300,0V;201,2V;0,100A;0,101A;100W;20W;N/A;N/A;N/A;On;CC;None;6523.8 
300,0V;201,2V;0,100A;0,101A;100W;20W;N/A;N/A;N/A;On;CC;None;6523.9 
300,0V;201,2V;0,100A;0,101A;100W;20W;N/A;N/A;N/A;On;CC;None;6524.0 
300,0V;201,2V;0,100A;0,101A;100W;20W;N/A;N/A;N/A;On;CC;None;6524.1 
300,0V;201,2V;0,100A;0,101A;100W;20W;N/A;N/A;N/A;On;CC;None;6524.2 
300,0V;201,2V;0,100A;0,101A;100W;20W;N/A;N/A;N/A;On;CC;None;6524.3 
300,0V;201,2V;0,100A;0,101A;100W;20W;N/A;N/A;N/A;On;CC;None;6524.4 
300,0V;201,2V;0,100A;0,101A;100W;20W;N/A;N/A;N/A;On;CC;None;6524.5 
300,0V;201,2V;0,100A;0,101A;100W;20W;N/A;N/A;N/A;On;CC;None;6524.6 
300,0V;201,2V;0,100A;0,101A;100W;20W;N/A;N/A;N/A;On;CC;None;6524.7 
300,0V;201,2V;0,100A;0,101A;100W;20W;N/A;N/A;N/A;On;CC;None;6524.8 
300,0V;201,2V;0,100A;0,101A;100W;20W;N/A;N/A;N/A;On;CC;None;6524.9 
300,0V;201,2V;0,100A;0,101A;100W;20W;N/A;N/A;N/A;On;CC;None;6525.0 
300,0V;201,2V;0,100A;0,101A;100W;20W;N/A;N/A;N/A;On;CC;None;6525.1 
300,0V;201,2V;0,100A;0,101A;100W;20W;N/A;N/A;N/A;On;CC;None;6525.2 
300,0V;201,2V;0,100A;0,101A;100W;20W;N/A;N/A;N/A;On;CC;None;6525.3 
300,0V;201,2V;0,100A;0,101A;100W;20W;N/A;N/A;N/A;On;CC;None;6525.4 
300,0V;201,2V;0,100A;0,101A;100W;20W;N/A;N/A;N/A;On;CC;None;6525.5 
300,0V;201,2V;0,100A;0,101A;100W;20W;N/A;N/A;N/A;On;CC;None;6525.6 
300,0V;201,2V;0,100A;0,101A;100W;20W;N/A;N/A;N/A;On;CC;None;6525.7 
300,0V;201,2V;0,100A;0,101A;100W;20W;N/A;N/A;N/A;On;CC;None;6525.8 
300,0V;201,2V;0,100A;0,100A;100W;20W;N/A;N/A;N/A;On;CC;None;6525.9 
300,0V;201,2V;0,100A;0,101A;100W;20W;N/A;N/A;N/A;On;CC;None;6526.0 
300,0V;201,2V;0,100A;0,101A;100W;20W;N/A;N/A;N/A;On;CC;None;6526.1 
300,0V;201,2V;0,100A;0,101A;100W;20W;N/A;N/A;N/A;On;CC;None;6526.2 
300,0V;201,2V;0,100A;0,101A;100W;20W;N/A;N/A;N/A;On;CC;None;6526.3 
300,0V;201,2V;0,100A;0,102A;100W;20W;N/A;N/A;N/A;On;CC;None;6526.4 
300,0V;201,2V;0,100A;0,102A;100W;20W;N/A;N/A;N/A;On;CC;None;6526.5 
300,0V;201,2V;0,100A;0,102A;100W;20W;N/A;N/A;N/A;On;CC;None;6526.6 
